rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate
1775.53,2021,2,2021H2,4,Dublin,Leinster,Dublin,Dublin,All property types,All bedrooms,,True,True,True
1197.95,2021,2,2021H2,4,Galway,Connacht,Galway,Galway,All property types,All bedrooms,,False,False,True
815.0,2021,2,2021H2,4,Kerry,Munster,Kerry,Kerry,All property types,All bedrooms,,False,False,True
1337.46,2021,2,2021H2,4,Kildare,Leinster,Kildare,Kildare,All property types,All bedrooms,,False,False,True
883.39,2021,2,2021H2,4,Kilkenny,Leinster,Kilkenny,Kilkenny,All property types,All bedrooms,,False,False,True
908.17,2021,2,2021H2,4,Laois,Leinster,Laois,Laois,All property types,All bedrooms,,False,False,True
619.99,2021,2,2021H2,4,Leitrim,Connacht,Leitrim,Leitrim,All property types,All bedrooms,,False,False,True
1078.11,2021,2,2021H2,4,Limerick,Munster,Limerick,Limerick,All property types,All bedrooms,,False,False,True
705.75,2021,2,2021H2,4,Longford,Leinster,Longford,Longford,All property types,All bedrooms,,False,False,True
1120.29,2021,2,2021H2,4,Louth,Leinster,Louth,Louth,All property types,All bedrooms,,False,False,True
730.51,2021,2,2021H2,4,Mayo,Connacht,Mayo,Mayo,All property types,All bedrooms,,False,False,True
1237.81,2021,2,2021H2,4,Meath,Leinster,Meath,Meath,All property types,All bedrooms,,False,False,True
690.9,2021,2,2021H2,4,Monaghan,Ulster,Monaghan,Monaghan,All property types,All bedrooms,,False,False,True
851.0,2021,2,2021H2,4,Offaly,Leinster,Offaly,Offaly,All property types,All bedrooms,,False,False,True
728.96,2021,2,2021H2,4,Roscommon,Connacht,Roscommon,Roscommon,All property types,All bedrooms,,False,False,True
791.76,2021,2,2021H2,4,Sligo,Connacht,Sligo,Sligo,All property types,All bedrooms,,False,False,True
742.34,2021,2,2021H2,4,Tipperary,Munster,Tipperary,Tipperary,All property types,All bedrooms,,False,False,True
899.67,2021,2,2021H2,4,Waterford,Munster,Waterford,Waterford,All property types,All bedrooms,,False,False,True
908.84,2021,2,2021H2,4,Westmeath,Leinster,Westmeath,Westmeath,All property types,All bedrooms,,False,False,True
822.2,2021,2,2021H2,4,Wexford,Leinster,Wexford,Wexford,All property types,All bedrooms,,False,False,True
1368.42,2021,2,2021H2,4,Wicklow,Leinster,Wicklow,Wicklow,All property types,All bedrooms,,False,False,True
952.49,2022,1,2022H1,5,Carlow,Leinster,Carlow,Carlow,All property types,All bedrooms,,False,False,True
749.7,2022,1,2022H1,5,Cavan,Ulster,Cavan,Cavan,All property types,All bedrooms,,False,False,True
850.68,2022,1,2022H1,5,Clare,Munster,Clare,Clare,All property types,All bedrooms,,False,False,True
1195.47,2022,1,2022H1,5,Cork,Munster,Cork,Cork,All property types,All bedrooms,,False,False,True
674.43,2022,1,2022H1,5,Donegal,Ulster,Donegal,Donegal,All property types,All bedrooms,,False,False,True
1821.91,2022,1,2022H1,5,Dublin,Leinster,Dublin,Dublin,All property types,All bedrooms,,True,True,True
1205.05,2022,1,2022H1,5,Galway,Connacht,Galway,Galway,All property types,All bedrooms,,False,False,True
854.96,2022,1,2022H1,5,Kerry,Munster,Kerry,Kerry,All property types,All bedrooms,,False,False,True
1368.84,2022,1,2022H1,5,Kildare,Leinster,Kildare,Kildare,All property types,All bedrooms,,False,False,True
908.32,2022,1,2022H1,5,Kilkenny,Leinster,Kilkenny,Kilkenny,All property types,All bedrooms,,False,False,True
939.66,2022,1,2022H1,5,Laois,Leinster,Laois,Laois,All property types,All bedrooms,,False,False,True
677.4,2022,1,2022H1,5,Leitrim,Connacht,Leitrim,Leitrim,All property types,All bedrooms,,False,False,True
1112.26,2022,1,2022H1,5,Limerick,Munster,Limerick,Limerick,All property types,All bedrooms,,False,False,True
737.54,2022,1,2022H1,5,Longford,Leinster,Longford,Longford,All property types,All bedrooms,,False,False,True
1152.45,2022,1,2022H1,5,Louth,Leinster,Louth,Louth,All property types,All bedrooms,,False,False,True
770.15,2022,1,2022H1,5,Mayo,Connacht,Mayo,Mayo,All property types,All bedrooms,,False,False,True
1252.19,2022,1,2022H1,5,Meath,Leinster,Meath,Meath,All property types,All bedrooms,,False,False,True
729.61,2022,1,2022H1,5,Monaghan,Ulster,Monaghan,Monaghan,All property types,All bedrooms,,False,False,True
884.35,2022,1,2022H1,5,Offaly,Leinster,Offaly,Offaly,All property types,All bedrooms,,False,False,True
766.61,2022,1,2022H1,5,Roscommon,Connacht,Roscommon,Roscommon,All property types,All bedrooms,,False,False,True
825.85,2022,1,2022H1,5,Sligo,Connacht,Sligo,Sligo,All property types,All bedrooms,,False,False,True
777.88,2022,1,2022H1,5,Tipperary,Munster,Tipperary,Tipperary,All property types,All bedrooms,,False,False,True
877.86,2022,1,2022H1,5,Waterford,Munster,Waterford,Waterford,All property types,All bedrooms,,False,False,True
943.47,2022,1,2022H1,5,Westmeath,Leinster,Westmeath,Westmeath,All property types,All bedrooms,,False,False,True
860.61,2022,1,2022H1,5,Wexford,Leinster,Wexford,Wexford,All property types,All bedrooms,,False,False,True
1396.1,2022,1,2022H1,5,Wicklow,Leinster,Wicklow,Wicklow,All property types,All bedrooms,,False,False,True
1029.59,2022,2,2022H2,6,Carlow,Leinster,Carlow,Carlow,All property types,All bedrooms,,False,False,True
806.13,2022,2,2022H2,6,Cavan,Ulster,Cavan,Cavan,All property types,All bedrooms,,False,False,True
897.61,2022,2,2022H2,6,Clare,Munster,Clare,Clare,All property types,All bedrooms,,False,False,True
1245.51,2022,2,2022H2,6,Cork,Munster,Cork,Cork,All property types,All bedrooms,,False,False,True
710.26,2022,2,2022H2,6,Donegal,Ulster,Donegal,Donegal,All property types,All bedrooms,,False,False,True
1874.6,2022,2,2022H2,6,Dublin,Leinster,Dublin,Dublin,All property types,All bedrooms,,True,True,True
1285.5,2022,2,2022H2,6,Galway,Connacht,Galway,Galway,All property types,All bedrooms,,False,False,True
906.67,2022,2,2022H2,6,Kerry,Munster,Kerry,Kerry,All property types,All bedrooms,,False,False,True
1421.48,2022,2,2022H2,6,Kildare,Leinster,Kildare,Kildare,All property types,All bedrooms,,False,False,True
940.28,2022,2,2022H2,6,Kilkenny,Leinster,Kilkenny,Kilkenny,All property types,All bedrooms,,False,False,True
953.21,2022,2,2022H2,6,Laois,Leinster,Laois,Laois,All property types,All bedrooms,,False,False,True
724.88,2022,2,2022H2,6,Leitrim,Connacht,Leitrim,Leitrim,All property types,All bedrooms,,False,False,True
1199.36,2022,2,2022H2,6,Limerick,Munster,Limerick,Limerick,All property types,All bedrooms,,False,False,True
790.74,2022,2,2022H2,6,Longford,Leinster,Longford,Longford,All property types,All bedrooms,,False,False,True
1173.02,2022,2,2022H2,6,Louth,Leinster,Louth,Louth,All property types,All bedrooms,,False,False,True
820.91,2022,2,2022H2,6,Mayo,Connacht,Mayo,Mayo,All property types,All bedrooms,,False,False,True
1285.17,2022,2,2022H2,6,Meath,Leinster,Meath,Meath,All property types,All bedrooms,,False,False,True
763.04,2022,2,2022H2,6,Monaghan,Ulster,Monaghan,Monaghan,All property types,All bedrooms,,False,False,True
926.09,2022,2,2022H2,6,Offaly,Leinster,Offaly,Offaly,All property types,All bedrooms,,False,False,True
809.5,2022,2,2022H2,6,Roscommon,Connacht,Roscommon,Roscommon,All property types,All bedrooms,,False,False,True
888.96,2022,2,2022H2,6,Sligo,Connacht,Sligo,Sligo,All property types,All bedrooms,,False,False,True
825.67,2022,2,2022H2,6,Tipperary,Munster,Tipperary,Tipperary,All property types,All bedrooms,,False,False,True
1011.31,2022,2,2022H2,6,Waterford,Munster,Waterford,Waterford,All property types,All bedrooms,,False,False,True
985.01,2022,2,2022H2,6,Westmeath,Leinster,Westmeath,Westmeath,All property types,All bedrooms,,False,False,True
908.7,2022,2,2022H2,6,Wexford,Leinster,Wexford,Wexford,All property types,All bedrooms,,False,False,True
1386.62,2022,2,2022H2,6,Wicklow,Leinster,Wicklow,Wicklow,All property types,All bedrooms,,False,False,True
1043.93,2023,1,2023H1,7,Carlow,Leinster,Carlow,Carlow,All property types,All bedrooms,,False,False,True
846.17,2023,1,2023H1,7,Cavan,Ulster,Cavan,Cavan,All property types,All bedrooms,,False,False,True
928.22,2023,1,2023H1,7,Clare,Munster,Clare,Clare,All property types,All bedrooms,,False,False,True
1261.76,2023,1,2023H1,7,Cork,Munster,Cork,Cork,All property types,All bedrooms,,False,False,True
760.95,2023,1,2023H1,7,Donegal,Ulster,Donegal,Donegal,All property types,All bedrooms,,False,False,True
1932.29,2023,1,2023H1,7,Dublin,Leinster,Dublin,Dublin,All property types,All bedrooms,,True,True,True
1300.93,2023,1,2023H1,7,Galway,Connacht,Galway,Galway,All property types,All bedrooms,,False,False,True
939.8,2023,1,2023H1,7,Kerry,Munster,Kerry,Kerry,All property types,All bedrooms,,False,False,True
1450.53,2023,1,2023H1,7,Kildare,Leinster,Kildare,Kildare,All property types,All bedrooms,,False,False,True
980.41,2023,1,2023H1,7,Kilkenny,Leinster,Kilkenny,Kilkenny,All property types,All bedrooms,,False,False,True
969.95,2023,1,2023H1,7,Laois,Leinster,Laois,Laois,All property types,All bedrooms,,False,False,True
756.88,2023,1,2023H1,7,Leitrim,Connacht,Leitrim,Leitrim,All property types,All bedrooms,,False,False,True
1191.22,2023,1,2023H1,7,Limerick,Munster,Limerick,Limerick,All property types,All bedrooms,,False,False,True
821.72,2023,1,2023H1,7,Longford,Leinster,Longford,Longford,All property types,All bedrooms,,False,False,True
1202.84,2023,1,2023H1,7,Louth,Leinster,Louth,Louth,All property types,All bedrooms,,False,False,True
870.81,2023,1,2023H1,7,Mayo,Connacht,Mayo,Mayo,All property types,All bedrooms,,False,False,True
1325.15,2023,1,2023H1,7,Meath,Leinster,Meath,Meath,All property types,All bedrooms,,False,False,True
806.18,2023,1,2023H1,7,Monaghan,Ulster,Monaghan,Monaghan,All property types,All bedrooms,,False,False,True
946.81,2023,1,2023H1,7,Offaly,Leinster,Offaly,Offaly,All property types,All bedrooms,,False,False,True
859.89,2023,1,2023H1,7,Roscommon,Connacht,Roscommon,Roscommon,All property types,All bedrooms,,False,False,True
915.85,2023,1,2023H1,7,Sligo,Connacht,Sligo,Sligo,All property types,All bedrooms,,False,False,True
851.94,2023,1,2023H1,7,Tipperary,Munster,Tipperary,Tipperary,All property types,All bedrooms,,False,False,True
999.09,2023,1,2023H1,7,Waterford,Munster,Waterford,Waterford,All property types,All bedrooms,,False,False,True
1012.76,2023,1,2023H1,7,Westmeath,Leinster,Westmeath,Westmeath,All property types,All bedrooms,,False,False,True
961.15,2023,1,2023H1,7,Wexford,Leinster,Wexford,Wexford,All property types,All bedrooms,,False,False,True
1426.53,2023,1,2023H1,7,Wicklow,Leinster,Wicklow,Wicklow,All property types,All bedrooms,,False,False,True
1124.84,2023,2,2023H2,8,Carlow,Leinster,Carlow,Carlow,All property types,All bedrooms,,False,False,True
899.52,2023,2,2023H2,8,Cavan,Ulster,Cavan,Cavan,All property types,All bedrooms,,False,False,True
992.11,2023,2,2023H2,8,Clare,Munster,Clare,Clare,All property types,All bedrooms,,False,False,True
1326.44,2023,2,2023H2,8,Cork,Munster,Cork,Cork,All property types,All bedrooms,,False,False,True
822.27,2023,2,2023H2,8,Donegal,Ulster,Donegal,Donegal,All property types,All bedrooms,,False,False,True
1977.34,2023,2,2023H2,8,Dublin,Leinster,Dublin,Dublin,All property types,All bedrooms,,True,True,True
1385.41,2023,2,2023H2,8,Galway,Connacht,Galway,Galway,All property types,All bedrooms,,False,False,True
987.44,2023,2,2023H2,8,Kerry,Munster,Kerry,Kerry,All property types,All bedrooms,,False,False,True
1514.23,2023,2,2023H2,8,Kildare,Leinster,Kildare,Kildare,All property types,All bedrooms,,False,False,True
1040.14,2023,2,2023H2,8,Kilkenny,Leinster,Kilkenny,Kilkenny,All property types,All bedrooms,,False,False,True
1013.58,2023,2,2023H2,8,Laois,Leinster,Laois,Laois,All property types,All bedrooms,,False,False,True
788.93,2023,2,2023H2,8,Leitrim,Connacht,Leitrim,Leitrim,All property types,All bedrooms,,False,False,True
1309.55,2023,2,2023H2,8,Limerick,Munster,Limerick,Limerick,All property types,All bedrooms,,False,False,True
881.59,2023,2,2023H2,8,Longford,Leinster,Longford,Longford,All property types,All bedrooms,,False,False,True
1242.69,2023,2,2023H2,8,Louth,Leinster,Louth,Louth,All property types,All bedrooms,,False,False,True
920.06,2023,2,2023H2,8,Mayo,Connacht,Mayo,Mayo,All property types,All bedrooms,,False,False,True
1373.08,2023,2,2023H2,8,Meath,Leinster,Meath,Meath,All property types,All bedrooms,,False,False,True
843.76,2023,2,2023H2,8,Monaghan,Ulster,Monaghan,Monaghan,All property types,All bedrooms,,False,False,True
1005.91,2023,2,2023H2,8,Offaly,Leinster,Offaly,Offaly,All property types,All bedrooms,,False,False,True
908.97,2023,2,2023H2,8,Roscommon,Connacht,Roscommon,Roscommon,All property types,All bedrooms,,False,False,True
978.59,2023,2,2023H2,8,Sligo,Connacht,Sligo,Sligo,All property types,All bedrooms,,False,False,True
891.31,2023,2,2023H2,8,Tipperary,Munster,Tipperary,Tipperary,All property types,All bedrooms,,False,False,True
1104.56,2023,2,2023H2,8,Waterford,Munster,Waterford,Waterford,All property types,All bedrooms,,False,False,True
1078.12,2023,2,2023H2,8,Westmeath,Leinster,Westmeath,Westmeath,All property types,All bedrooms,,False,False,True
1025.26,2023,2,2023H2,8,Wexford,Leinster,Wexford,Wexford,All property types,All bedrooms,,False,False,True
1466.06,2023,2,2023H2,8,Wicklow,Leinster,Wicklow,Wicklow,All property types,All bedrooms,,False,False,True
1118.78,2024,1,2024H1,9,Carlow,Leinster,Carlow,Carlow,All property types,All bedrooms,,False,False,True
970.88,2024,1,2024H1,9,Cavan,Ulster,Cavan,Cavan,All property types,All bedrooms,,False,False,True
1052.97,2024,1,2024H1,9,Clare,Munster,Clare,Clare,All property types,All bedrooms,,False,False,True
1367.02,2024,1,2024H1,9,Cork,Munster,Cork,Cork,All property types,All bedrooms,,False,False,True
879.08,2024,1,2024H1,9,Donegal,Ulster,Donegal,Donegal,All property types,All bedrooms,,False,False,True
